EMOTION,TEXT,cleaned_text
shame,"I was swimming in the river and I lost the top of my bikini.  I  
did not notice it and came out of water.  There was a  
disagreeable classmate watching the scene.",swim river lost top bikini. notic came water. disagre classmat watch scene.
guilt,"At a party, several comments were made about the personal  
situation of one of the people present.  She was rather affected  
and uncomfortable.","party, sever comment made person situat one peopl present. rather affect uncomfortable."
joy,"It was Saturday, my duties were over for a few hours and I could  
at last be with the people I wanted to see.","saturday, duti hour could last peopl want see."
fear,"One night, I was alone at home.  My fear was caused by some  
strange noises which put my imagination to work.","one night, alon home. fear caus strang nois put imagin work."
anger,"When I got to know about the reaction of a friend of mine in a  
certain situation.  I had not expected him to react that way.",got know reaction friend mine certain situation. expect react way.
sadness,"I felt alone among a large number of people.  I was sad to see  
that nobody cared about what was happening to me.",felt alon among larg number people. sad see nobodi care happen me.
disgust,I saw a sort of black worm being attacked by many ants.,saw sort black worm attack mani ants.
shame,When I met a friend of mine after several months.  ,met friend mine sever months.
guilt,When I noticed the negative changes in a friend's behaviour. ,notic neg chang friend' behaviour.
joy,"I was going to my village, after having been rather oppressed in  
Madrid. ","go village, rather oppress madrid."
fear,"I was watching a procession during the Holy week, and a penitent  
approached me.","watch process holi week, penit approach me."
anger,"My mother read a letter that a friend of mine had written to me  
telling me how she had got drunk the last time.",mother read letter friend mine written tell got drunk last time.
disgust,"I found a cockroach crushed between two folders in my bedroom, I  
called my mother.","found cockroach crush two folder bedroom, call mother."
shame,"I ride my motorbike in my village and everyone stares at me as if  
I was a rare specimen.",ride motorbik villag everyon stare rare specimen.
guilt,"I was spending a few days at my aunt's place.  One night I got  
home very late, I had told them I was going to a party but I went  
to another place.  They were very worried.","spend day aunt' place. one night got home late, told go parti went anoth place. worried."
joy,"Last Summer I achieved someting that I had been wanting for a  
long time.",last summer achiev somet want long time.
fear,"I was in a camp and went out for a walk at night on my own.  I lost   
my way and spent several hours looking for the camp.",camp went walk night own. lost way spent sever hour look camp.
anger,"My parents scolded me a lot for something I had not done.  It was  
my sister who had done it.",parent scold lot someth done. sister done it.
disgust,At the hypocrisy of some of my friends.,hypocrisi friends.
shame,"I greeted and embraced the wrong person thinking that it was my  
friend.",greet embrac wrong person think friend.
guilt,"Due to a misunderstanding on my part, two of my best friends  
quarelled.","due misunderstand part, two best friend quarelled."
joy,"When my brother was born, everything went all right.  It had been  
very likely that he would have a deficiency (my sister suffers  
from Down's Syndrome) and that my mother would be in danger.","brother born, everyth went right. like would defici (mi sister suffer down' syndrome) mother would danger."
fear,"When we got lost in Florence and the coach did not turn up until  
midnight.  I had no place to go to and there were strange reports  
at the police station.",got lost florenc coach turn midnight. place go strang report polic station.
anger,"When an English teacher unfairly made me repeat a semester which  
I thought I had passed.  I had to ask my parents for some more  
money to carry on studying.",english teacher unfairli made repeat semest thought passed. ask parent money carri studying.
sadness,"The person whom I liked most left me for a friend of mine, after  
several months of mutual help and a profound knowledge of each  
other.","person like left friend mine, sever month mutual help profound knowledg other."
disgust,"In a park near our home, a group of young people who were  
strangely dressed were seated in the middle of the street.  They  
began to eat while carressing each other.","park near home, group young peopl strang dress seat middl street. began eat carress other."
shame,"I feel this emotion very often when I try to express my feelings  
in public, because other people do not understand my reactions  
and think that I am silly. ","feel emot often tri express feel public, peopl understand reaction think silly."
guilt,"A friend of mine said in a group that she felt lonely and  
withdrawn from everyone because of mental deficiency.",friend mine said group felt lone withdrawn everyon mental deficiency.
joy,"When I passed the university entrance exam.  I had thus finished  
with a difficult period of my life and I was about to begin one  
which I had desired a lot.",pass univers entranc exam. thu finish difficult period life begin one desir lot.
fear,"When I was at home alone, I felt a super-natural force, dangerous  
for me and the people close to me.","home alone, felt super-natur force, danger peopl close me."
anger,"When my father made my mother go through really terrible  
situations, I felt furious, impotent, nervous, upset, ........","father made mother go realli terribl situations, felt furious, impotent, nervous, upset, ........"
sadness,"When a person whom I loved and admired a lot died.  I felt empty,  
lonely, helpless, without support, not knowing what to do.","person love admir lot died. felt empty, lonely, helpless, without support, know do."
disgust,"When I came to know that my father and his parents were : self  
interested, dirty, negative, egoist, bad peolpe,......","came know father parent : self interested, dirty, negative, egoist, bad peolpe,......"
shame,"I think that the only time I really felt shame was when I was  
very young and I had to defecate on the street.  I was very  
worried in case someone should see me.",think time realli felt shame young defec street. worri case someon see me.
guilt,"When I was young I felt guilty because I thought that I had  
commited a grave sin.",young felt guilti thought commit grave sin.
joy,"On my birthday, when I was given my presents.","birthday, given presents."
fear,"We were riding in a friend's car.  He was driving very fast and  
suddenly a another car crossed the road in front of us.  My  
friend had to turn the car rapidly.",ride friend' car. drive fast suddenli anoth car cross road front us. friend turn car rapidly.
anger,"When I found one of my new pullovers wrinkled inside the  
wardrobe.  My brother had done it.",found one new pullov wrinkl insid wardrobe. brother done it.
sadness,"When I went to see the result of an exam and saw that I had  
failed.",went see result exam saw failed.
disgust,"When I was getting up, I found a live cockroach in my bedroom.","get up, found live cockroach bedroom."
shame,"The mother of a friend of mine passed by me and saw me sitting  
on a boy's lap.  I tried to greet her but could not help  
blushing.",mother friend mine pass saw sit boy' lap. tri greet could help blushing.
guilt,"A friend of mine had the sleeves of a leather coat stolen from  
his car.  It was me who had left them there for everyone to see.",friend mine sleev leather coat stolen car. left everyon see.
joy,"The final marks were to be given in the morning.  I wanted to get  
there late because I was very afraid.  When I arrived there,  
everybody was very happy and I had also passed.  We had a  
wonderful time all day long.","final mark given morning. want get late afraid. arriv there, everybodi happi also passed. wonder time day long."
fear,"I went to visit a friend in hospital.  He was going to be  
operated the next day.  I was afraid that they would not let me  
in and I did not know what his reaction would be on seeing me.",went visit friend hospital. go oper next day. afraid would let know reaction would see me.
anger,"A friend of mine played a joke on another friend over the  
telephone.  This friend, crying, called me and I got very angry  
and made the other person apologize.","friend mine play joke anoth friend telephone. friend, crying, call got angri made person apologize."
sadness,"A friend of mine told me that my boyfriend had been with another  
girl this Summer.  We had been going out together for four years  
and we had not done so for the last three months.  I could not  
believe it.",friend mine told boyfriend anoth girl summer. go togeth four year done last three months. could believ it.
disgust," I was at a friend's place for lunch and she fell ill and  
vomited.",friend' place lunch fell ill vomited.
shame,"I was dancing in a theatre.  I was not sure whether some frieends  
of mine had come to see me.  I was very scared of doing things  
wrong.",danc theatre. sure whether frieend mine come see me. scare thing wrong.
guilt,"Classes were over and I wanted to go home.  A friend of mine  
asked me to wait for half an hour to take him back home.  I said  
no.  ",class want go home. friend mine ask wait half hour take back home. said no.
joy,"On holiday, seeing the lanscape in Gerona.","holiday, see lanscap gerona."
fear,Travelling by coach on a rather narrow and wet road.,travel coach rather narrow wet road.
anger,"They wanted me to pay for a ticket twice because they said that  
the one I had was out of date.",want pay ticket twice said one date.
sadness,When I came back from my holidays.,came back holidays.
disgust,When I saw an insect going up my arm.,saw insect go arm.
shame,When I entered a bar looking for a friend.,enter bar look friend.
guilt,"Arguing with my younger cousin.  She is rather a nuisance but I  
felt sorry.",argu younger cousin. rather nuisanc felt sorry.
joy,"When some friends of mine asked me to go camping with them for a  
fortnight.",friend mine ask go camp fortnight.
fear,"Once, when I was very young, my mother left me alone in the  
house and came back very late.","once, young, mother left alon hous came back late."
anger,"When my aunt told me angrily that I was a good-for-nothing and  
she was fed up with my behaviour.",aunt told angrili good-for-noth fed behaviour.
sadness,"When my parents and sister went on a trip and I was separated  
from them for about three months.",parent sister went trip separ three months.
disgust,When a person I did not know hurt a friend of mine.,person know hurt friend mine.
shame,"When the literature teacher made me recite a poem in the middle  
of the class and I had to gesticulate.",literatur teacher made recit poem middl class gesticulate.
guilt,"Once, when I arrived home very late, my parents had an argument  
because of this; my mother wanted to stand up for me.","once, arriv home late, parent argument this; mother want stand me."
joy,"I phoned a friend of mine to ask her for news about the marks in  
an exam.  She told me that I had passed.",phone friend mine ask news mark exam. told passed.
fear,"I was spending my summer holidays in a village.  My friend and I  
were coming back from a discotheque at night and we heard a noise  
from an alley.  We were very scared and we got into my friend's house.  
 A moment later, an unknown car picked up a person from this  
alley.","spend summer holiday village. friend come back discothequ night heard nois alley. scare got friend' house. moment later, unknown car pick person alley."
anger,"My mother and I had an argument over buying some clothes for me.   
She did not accept the fact that I did not like the same things  
as her, and we ended up shouting at each other.","mother argument buy cloth me. accept fact like thing her, end shout other."
sadness,"One day, I was home and there was a phone call informing me that  
some of my relatives had died in an accident.","one day, home phone call inform rel die accident."
disgust,"When I saw a film in which there was a scene where women were cut  
to pieces.  Above all, it was the blood and the confusion which  
impressed me most.","saw film scene women cut pieces. all, blood confus impress most."
shame,"I was walking to school and I passed by a red cross post where  
there were many soldiers.  They began to pass remarks at me.",walk school pass red cross post mani soldiers. began pass remark me.
guilt,"A friend of mine trusted me to back her in a decision she had  
made.  But when the moment came I did not agree with her opinion.",friend mine trust back decis made. moment came agre opinion.
joy,"I was told that I had passed the statistics exam.  I had not  
expected this so I was very happy.",told pass statist exam. expect happy.
fear,"When my brother hit his head and lost consciousness at the sports  
practice.  For some time he could not remember what had happened  
but he recovered later.",brother hit head lost conscious sport practice. time could rememb happen recov later.
anger,"I get angry with my brothers and sisters when they do something  
that I do not like.  They know this and still do it so as to  
tease me.",get angri brother sister someth like. know still teas me.
sadness,When my grandfather died.,grandfath died.
disgust,When opened a box of biscuits and found worms inside.,open box biscuit found worm inside.
shame,"When I was young I was told to to the shop to buy a dozen eggs.   
I went and asked for one egg and the people in the shop laughed  
at me and so did my family when I told them what had happened.",young told shop buy dozen eggs. went ask one egg peopl shop laugh famili told happened.
guilt,"When I arrived home late at night.  I know that my mother gets  
worried and this made me feel angry.",arriv home late night. know mother get worri made feel angry.
joy,"When I spoke to my daughter and wished her luck for the  
examinations she was about to take.",spoke daughter wish luck examin take.
fear,"When I was told that my daughter, who is at a boarding school,  
was very ill and that they needed me there the same day.","told daughter, board school, ill need day."
anger,"One day in a clinic, the father of a child came in and assaulted  
a colleague for something that she had not done deliberately.","one day clinic, father child came assault colleagu someth done deliberately."
sadness,When I was told that my uncle had passed away.,told uncl pass away.
disgust,"The transport to pick us up for lunch was always late and the  
driver made the same excuse every day.",transport pick us lunch alway late driver made excus everi day.
shame,"One day when I came back home, I found my favourite dish broken.   
I blamed the servant for it, later I found out that it was not  
the servant but my daughter who had broken it.","one day came back home, found favourit dish broken. blame servant it, later found servant daughter broken it."
guilt,When I did not give back a text book to a friend in time.,give back text book friend time.
joy,"When a cousin of mine was discharged from the hospital after        
a long illness.  I had thought that this illness would never end.",cousin mine discharg hospit long illness. thought ill would never end.
fear,"When a man who had a knife grabbed me and threatened me with it,    
during my holidays in Monze. 
","man knife grab threaten it, holiday monze."
anger,"A certain friend tried to push me off a seat in a very violent  
way for no apparent reason.  It may be that he was excited about  
something.",certain friend tri push seat violent way appar reason. may excit something.
sadness,"When the neighbour of a friend of mine was stabbed to death by  
thieves in Kabwe.  They stole his van.",neighbour friend mine stab death thiev kabwe. stole van.
disgust,"When we were young, a friend of mine tried to dissect a frog while   
we were playing near his home.","young, friend mine tri dissect frog play near home."
shame,"The time I shouted at most of my friends at a party.  It was as if  
 all my friends had done something wrong, or may be it was the  
influence of the beer.","time shout friend party. friend done someth wrong, may influenc beer."
guilt,"When I blamed my niece for misplacing my book, she denied having  
touched or seen it but I carried on insisting that it was her.","blame niec misplac book, deni touch seen carri insist her."
joy,"After going through much shame, I became a Christian and  
something new happened in my heart.  Joy that overflows was  
manifest in me.","go much shame, becam christian someth new happen heart. joy overflow manifest me."
fear,"When I was about six years old, I mistook a cat for a leopard       
when it entered my room at night.","six year old, mistook cat leopard enter room night."
anger,"When a person the same age as me insisted that I call him  
""Mister"".  I refused to succumb, but he persisted and I got angry  
as he had belittled me.","person age insist call ""mister"". refus succumb, persist got angri belittl me."
sadness,"When I lost my father on the 25th of September,1970.  He died of  
a sore on the leg.","lost father 25th september,1970. die sore leg."
disgust,"When I failed the grade 7 twice and only passed it the third  
time.",fail grade 7 twice pass third time.
shame,"I was going around with a foreigner's wife and my entire family  
got to know about it, this was just when I had become a  
Christian.","go around foreigner' wife entir famili got know it, becom christian."
guilt,"When they found out that I was absent from school, I had gone to  
the girl's secondary school.","found absent school, gone girl' secondari school."
joy,When I first passed a job interview.,first pass job interview.
fear,"I was almost caught in the girls hostel by the security men, I  
would have been expelled from school had I been caught.","almost caught girl hostel secur men, would expel school caught."
anger,"When I was accused of having refused to do some hostel work while  
I was at school.  Actually I had not been allocated any work.",accus refus hostel work school. actual alloc work.
sadness,"A friend of mine could not make it back to Unza after having  
failed the exams.",friend mine could make back unza fail exams.
disgust,"I usually come back home early but this day I came home back late  
to find some visitors at my place.",usual come back home earli day came home back late find visitor place.
shame,"I got pass marks in the H.S.S compulsory courses while most  
people performed well.",got pass mark h.s. compulsori cours peopl perform well.
guilt,"I destroyed my step-brother's bedsheets by mistake, they were the  
only ones he had.","destroy step-brother' bedsheet mistake, one had."
joy,When I heard that I had made it to the second year at UNZA.,heard made second year unza.
fear,"When my father's home was to be broken into by thieves who had  
guns.",father' home broken thiev guns.
anger,"When a friend tried to back bite me on false grounds.  This made  
me wonder if he was a really a good friend.",friend tri back bite fals grounds. made wonder realli good friend.
sadness,When my girlfriend's nephew passed away.,girlfriend' nephew pass away.
disgust,"When someone whom I trusted, disappointed me terribly.","someon trusted, disappoint terribly."
shame,"I was with my colleagues and we met an elderly man who was very  
drunk, as he approached us he started to undress.","colleagu met elderli man drunk, approach us start undress."
guilt,"When I lied to my mum, who later came to know that what I had  
been teling her was false.","lie mum, later came know tele false."
joy,"When I hooked a girl in Kitwe.  She was very beautiful for my  
standards, a rare bird of this kind accepted me as a boyfriend.","hook girl kitwe. beauti standards, rare bird kind accept boyfriend."
fear,When someone tried to bewitch me and my friends at night.,someon tri bewitch friend night.
anger,"When I was victimized for running away with a girl who was  
somebody else's wife and niece at the same time.  I was very  
angry over this issue because I was told to pay him money after  
having been punished for it. ",victim run away girl somebodi else' wife niec time. angri issu told pay money punish it.
sadness,"1976, Soweto uprising in South Africa and the racist Gout's  
reaction to the students demands concerning the educational  
system.","1976, soweto upris south africa racist gout' reaction student demand concern educ system."
disgust,"When I got  grade ""C"" in M160 at the end of my first year at  
UNZA.  I had expected a ""C+"" or a ""B"" as M160 is easy, going by my  
capacity in mathematics.","got grade ""c"" m160 end first year unza. expect ""c+"" ""b"" m160 easy, go capac mathematics."
shame,"When I was found urinating, behind a toilet instead of inside it,  
by my class mates and the teachers.  I was told to pick up my own  
urine from the wet soil, I did it.","found urinating, behind toilet instead insid it, class mate teachers. told pick urin wet soil, it."
guilt,"When my uncle found me having sexual intercourse with a distant  
relative of mine in the sitting room, on the couch.  I failed to  
stop and get up, I carried on.","uncl found sexual intercours distant rel mine sit room, couch. fail stop get up, carri on."
joy,"When I was accepted for further education, here at the  
university.","accept education, university."
fear,"When I was walking at night, I saw fire suspended in the air and  
it was split into several segments by something I could not see.   
I suspected that it was witch-craft.","walk night, saw fire suspend air split sever segment someth could see. suspect witch-craft."
anger,"When I was accused by my brother of having stolen a 5 kwatcha  
note from my mother's bag.  I was beaten up for this, the money  
was found later.","accus brother stolen 5 kwatcha note mother' bag. beaten this, money found later."
sadness,"When I received a message that my brother was seriously ill and  
was in hospital.",receiv messag brother serious ill hospital.
disgust,"When I was refused a transfer from my school to another, simply  
because it was far away from my house.","refus transfer school another, simpli far away house."
shame,"When I was taking an exam in grade 5.  The examinator found me  
with a note-book and accused me of copying, All the students  
laughed at me.","take exam grade 5. examin found note-book accus copying, student laugh me."
guilt,When I was caught stealing mangoes in a certain compound.,caught steal mango certain compound.
joy,When I got first division in the exams before leaving school.,got first divis exam leav school.
fear,"When I went to town in a double dekker bus.  The bus was about to  
fall on the way when the driver controlled it.  It had almost  
fallen.",went town doubl dekker bus. bu fall way driver control it. almost fallen.
anger,"When I was in form 3, my aunts lied to my daddy telling him that  
I had told them that I was pregnant.  My daddy  told my mother  
and she asked me if it was true.  I was very angry with my aunts.","form 3, aunt lie daddi tell told pregnant. daddi told mother ask true. angri aunts."
sadness,When I received a letter telling me that my mother was very ill.,receiv letter tell mother ill.
disgust,"When a drunkard, in town yelled at me saying that I was a  
prostitute.","drunkard, town yell say prostitute."
shame,"My brother came to see me and found me with a boy friend.  When  
my boyfriend greeted him, he did not answer and instead started  
shouting at me and scolding me in the prescence of my boyfriend.","brother came see found boy friend. boyfriend greet him, answer instead start shout scold prescenc boyfriend."
guilt,"When I went to my room-mate's drawer to see if she had an iron   
which I could use, she came in.  I felt guilty as she may have  
thought that I had been stealing.","went room-mate' drawer see iron could use, came in. felt guilti may thought stealing."
joy,When I had my four children.,four children.
fear,When two of my children were critically ill with measles.,two children critic ill measles.
anger,When I got a low grade in an administration course.,got low grade administr course.
sadness,When I got divorced from my husband after ten years of marriage.,got divorc husband ten year marriage.
disgust,"When my mother betrayed me by obtaining money from my husband  
when we were separated - pending divorce.",mother betray obtain money husband separ - pend divorce.
shame,When I gave my boyfriend a brush-off.,gave boyfriend brush-off.
guilt,When I beat up my son for having beaten up his sister.,beat son beaten sister.
joy,"This happened when I went to check my first year results, I had   
thought that I would fail and I found that I had a clear pass in  
all my courses.","happen went check first year results, thought would fail found clear pass courses."
fear,"When I woke up at night to find a fire spreading towards the bed  
-rooms.  I was very frightened as I realized that I faced death.",woke night find fire spread toward bed -rooms. frighten realiz face death.
anger,When a friend of mine was trying to make a fool out of me.,friend mine tri make fool me.
sadness,"I experienced this emotion when my friend committed suicide after  
we had spent the afternoon playing and discussing life and it's  
problems.",experienc emot friend commit suicid spent afternoon play discuss life problems.
disgust,"When I heard of the assassination of the Indian prime-minister,  
Indira Gandhi.","heard assassin indian prime-minister, indira gandhi."
shame,"When I got drunk at a party and made a fool of myself by  
vomitting all over the place and insulting the people who were  
there with me.",got drunk parti made fool vomit place insult peopl me.
guilt,"When I was caught sneaking back into the house at night after  
having  gone to a disco without permission.",caught sneak back hous night gone disco without permission.
joy,When I was told that I had passed the exams.,told pass exams.
fear,When a thief broke into my house at night.,thief broke hous night.
anger,When my sister broke my china tea set.,sister broke china tea set.
sadness,I felt very sad when my son died after a short illness.,felt sad son die short illness.
disgust,I met my best friend's husband with a prostitute.,met best friend' husband prostitute.
shame,When I failed to answer a simple question.,fail answer simpl question.
guilt,"My brother wanted money but I refused to give it to him, two days  
later he stole it from my father.","brother want money refus give him, two day later stole father."
joy,When I learnt that I was selected for form I.,learnt select form i.
fear,When I was nearly beaten up by the brother of my girlfriend.,nearli beaten brother girlfriend.
anger,"When I heard that my girlfriend was talking behind my back and  
looking down on me.",heard girlfriend talk behind back look me.
sadness,"When a friend, who has been with me at school, failed to make it  
to UNZA.","friend, school, fail make unza."
disgust,"When my girlfriend told me that she was no longer interested in  
me.",girlfriend told longer interest me.
shame,I choked on a cold drink in front of girls who were strangers.,choke cold drink front girl strangers.
guilt,When I was caught with my girlfriend in the house at night.,caught girlfriend hous night.
joy,When I passed the grade 7 exam.,pass grade 7 exam.
fear,"When I was told by the doctor, after many months of coughing,  
that I had tuberculosis.","told doctor, mani month coughing, tuberculosis."
anger,"When a cousin of mine took my bottle of T.B tablets, put water in  
it and threw it in the dust-bin.","cousin mine took bottl t.b tablets, put water threw dust-bin."
sadness,"This happened when one of my uncles died just whan I was  
planning to go and visit him during the next holidays.",happen one uncl die whan plan go visit next holidays.
disgust,"When I realized that my closest friend had said bad things about  
me when I was not around and had betrayed me by making friends  
with my boyfriend's other girl.",realiz closest friend said bad thing around betray make friend boyfriend' girl.
shame,"When five of my friends at the secondary school found out the bad  
things that I had been saying about them.",five friend secondari school found bad thing say them.
guilt,"When my mother returned from a holiday, I told her a lie i.e my  
father had brought another woman home while she was away.","mother return holiday, told lie i.e father brought anoth woman home away."
joy,The time I qualified to enter secondary school.,time qualifi enter secondari school.
fear,"One evening I saw the old guard-man I knew, change into something  
inhuman for about 5-10 seconds, this really frightened me.","one even saw old guard-man knew, chang someth inhuman 5-10 seconds, realli frighten me."
anger,"When I was mistakenly accused of being a thief when I accidently  
gave a fake coin at a counter.  I realized this before I handed  
over the coin, but the man called me a thief and called a  
witness.","mistakenli accus thief accid gave fake coin counter. realiz hand coin, man call thief call witness."
sadness,"The day I woke up to find that a kitten I had wanted to keep had  
been eaten by the neighbour's dogs.  It had been locked out by my  
wife who claimed that it had dirtied the sheets.",day woke find kitten want keep eaten neighbour' dogs. lock wife claim dirti sheets.
disgust,"The day I was forced to use a public convenience place in town.   
It was so filthy that it really made me sick.",day forc use public conveni place town. filthi realli made sick.
shame,"My mother caught me stealing some food when I was a young  
boy.",mother caught steal food young boy.
guilt,"When I gave in to what my wife wanted and locked the cat out, it  
was killed by the dogs.","gave wife want lock cat out, kill dogs."
joy,"I felt joy when I came to know Christ.  That is when I became a  
Christian.",felt joy came know christ. becam christian.
fear,When I broke the window pane of my next door neighbour's house.,broke window pane next door neighbour' house.
anger,"When my brother did not send me the transport money to resume       
my studies in time at UNZA.",brother send transport money resum studi time unza.
sadness,When I heard that my nephew had passed away.,heard nephew pass away.
disgust,When my father thought that I was an unrelaible son.,father thought unrela son.
shame,"When I stole a book in class and the teacher caught me, the rest  
of the class laughed at my attempt.","stole book class teacher caught me, rest class laugh attempt."
guilt,When I insulted an elderly person for no reason.,insult elderli person reason.
joy,"When my uncle gave me my first year's results.  I opened the  
envelope and my eyes ran into two ""B+"" - in EC110 and M160, this  
meant that I had qualified for a major in economics.","uncl gave first year' results. open envelop eye ran two ""b+"" - ec110 m160, meant qualifi major economics."
fear,"I turned the knob of my granny's two band radio and did not hear  
any broadcast,  "" What ! Have I broken the knob ? How much does  
it cost ? What if the spare part is not available ? ""  --I did  
not know how to tune a radio.","turn knob granny' two band radio hear broadcast, "" ! broken knob ? much cost ? spare part avail ? "" --i know tune radio."
anger,"I peeped into Maurine's bedroom and saw two people - Maurine anbd  
my step-dad.  I thought, "" Why did she break her promises ? Why  
had she invited me ? Why do old men go for young girls ? ""","peep maurine' bedroom saw two peopl - maurin anbd step-dad. thought, "" break promis ? invit ? old men go young girl ? """
sadness,"When I missed the chance of becoming a graduate in mining  
engineering, after having prayed one week in the church I was  
not even selected.","miss chanc becom graduat mine engineering, pray one week church even selected."
disgust,"I stormed into the room, hoping to cool myself with some soft  
music from my three band radio cassette.  There was only young  
Kaley there and he explained, "" Your aunt has sold it as she  
wanted to buy clothes.""","storm room, hope cool soft music three band radio cassette. young kaley explained, "" aunt sold want buy clothes."""
shame,"When a lady I was flirting with told all my class-mates that she  
was in second year while I was in first year, everyone laughed  
and started looking at me.","ladi flirt told class-mat second year first year, everyon laugh start look me."
guilt,"My cousin knocked on the door, looking for me to get her watch  
back.  I had given it to my girlfriend, Lizzy, as a present.","cousin knock door, look get watch back. given girlfriend, lizzy, present."
joy,"This was when the girl I was in love with accepted my proposal  
and everything went smoothly, just as I had wanted it to.  It was  
contrary to my previous feelings of uncertainty about her  
response.","girl love accept propos everyth went smoothly, want to. contrari previou feel uncertainti response."
fear,"It was when I dreamt that I had encountered Satan, he wanted to grab me  
and take me to his kingdom.  He was very repulsive and I have  
never seen anything like that before.","dreamt encount satan, want grab take kingdom. repuls never seen anyth like before."
anger,"This was when I found out that a cousin of mine had taken away my  
trousers without my consent.",found cousin mine taken away trouser without consent.
sadness,"When I failed a test at my primary school.  I was then in grade 7  
and we were about to take the main exam.",fail test primari school. grade 7 take main exam.
disgust,"This was when I saw, for the first time, a naked woman  
(prostitute) run away from a house after having been discovered  
by the guardian.","saw, first time, nake woman (prostitute) run away hous discov guardian."
shame,"This was when I was discovered stealing a piece of bread at home,  
I was very hungry a few hours before supper.","discov steal piec bread home, hungri hour supper."
guilt,"When I was afraid to tell my sports teacher at secondary school  
that I had not participated in the sports activities the previous  
day.",afraid tell sport teacher secondari school particip sport activ previou day.
joy,"I was in grade 7.  We had an inter-house volley-ball competition.  
 In Luapula I was the youngest member of the team and I scored   
the winning goal using my head.  I jumped up with joy and fell  
down.",grade 7. inter-hous volley-bal competition. luapula youngest member team score win goal use head. jump joy fell down.
fear,"I was escorting a relative on a bike, we passed by a dark road  
with bushas on each side.  Half way down this road, suddenly, we    
saw a white dog appear from one side.  Before we could do  
anything, it had vanished and moreover it did not seem to have  
any legs.","escort rel bike, pass dark road busha side. half way road, suddenly, saw white dog appear one side. could anything, vanish moreov seem legs."
anger,"The comrade staying next doors insulted me for what he called   
the misuse of his iron.  He called me stupid, self centered etc.   
I wanted to punch him but instead went for a walk to the mining  
school to cool off.","comrad stay next door insult call misus iron. call stupid, self center etc. want punch instead went walk mine school cool off."
sadness,"A close relative was at odds with a very powerful firm.  All his  
things had been taken, His dad had died a little before this  
event.  He gathhered his children and vowed to give them a good  
life with a new start - the words were hollow, he bit back his  
tears .....I asked to be excused and then went and cried in the  
loo.","close rel odd power firm. thing taken, dad die littl event. gathher children vow give good life new start - word hollow, bit back tear .....i ask excus went cri loo."
disgust,A pig in the well from which we drink.,pig well drink.
shame,"My girlfriend had started going around with another boy.  Her  
cousin, also a friend of mine, asked her as to who she preferred.  
 Both of us were present and she chose the other guy.","girlfriend start go around anoth boy. cousin, also friend mine, ask preferred. us present chose guy."
guilt,"I bumped my dad's car in a lamp post.  He was not at home then,  
neither was he home when I left for the campus.  I did not tell  
him about the accident and I will never tell him.","bump dad' car lamp post. home then, neither home left campus. tell accid never tell him."
joy,"I was at school whhen I received a letter from the dean of my  
school congratulating me for my performance at the previous  
year's exam. ",school whhen receiv letter dean school congratul perform previou year' exam.
fear,"This was at secondary school, a prefect framed up some case and  
took it to the deputy head-master.  I was called by the  
head-master and he threatened to suspend me.","secondari school, prefect frame case took deputi head-master. call head-mast threaten suspend me."
anger,"When I travelled all the way to my former school to collect my  
certificate, only to be told that I owed them some money, I knew  
nothing about this.","travel way former school collect certificate, told owe money, knew noth this."
sadness,"My sister was in a hospital, later in the evening we received the  
information that she had died.","sister hospital, later even receiv inform died."
disgust,"When at school I thought that I was going to get the best results  
in mathematics, but it was someone else who got the prize.","school thought go get best result mathematics, someon els got prize."
shame,"When I received a letter from my girlfriend telling me that she  
was engaged to an another man.",receiv letter girlfriend tell engag anoth man.
guilt,"I felt guilty when I heard the results of my friend, who had  
failed.  I wished that I had helped him.","felt guilti heard result friend, failed. wish help him."
joy,My being admitted to UNZA.,admit unza.
fear,While paddling in the river during a storm.  I feared drowning.,paddl river storm. fear drowning.
anger,"I entrusted a friend with the delivery of some money to my  
father, however he misused the money.","entrust friend deliveri money father, howev misus money."
sadness,The loss of my mother.,loss mother.
disgust,Over an argument.,argument.
shame,At school - being whipped by the teacher in front of the class.,school - whip teacher front class.
guilt,"When I had sufficient amount of money, I brought more clothes for  
myself than for the children - I  felt bad about it.","suffici amount money, brought cloth children - felt bad it."
joy,My first kiss.,first kiss.
fear,When I saw a ghost.,saw ghost.
anger,My trouser's zipper was open when I was at a public wedding.,trouser' zipper open public wedding.
sadness,When a friend left me and went back home for good.,friend left went back home good.
disgust,When I failed an exam.,fail exam.
shame,Insulted my girlfriend during a peptalk.,insult girlfriend peptalk.
guilt,I caught a close relative with the servant of the house.,caught close rel servant house.
joy,When I passed my form three exams.,pass form three exams.
fear,"The time I was threatened with expulsion from secondary school (form  
four).",time threaten expuls secondari school (form four).
anger,"When I discovered that the people I trusted most were talking  
behind my back.",discov peopl trust talk behind back.
sadness,When I heard about the death of my aunt.,heard death aunt.
disgust,"When my brother promised me money but he failed to fulfill the  
promise.",brother promis money fail fulfil promise.
shame,"I was running in front of a crowd when I slipped and fell on a  
wet lawn.",run front crowd slip fell wet lawn.
guilt,When I took drugs.,took drugs.
joy,"As the time to get the results drew near I became more and more  
anxious.  My friend called me and said, "" You have passed.""  My  
heart was full of joy.","time get result drew near becam anxious. friend call said, "" passed."" heart full joy."
